id	phase	kind	scope	status	priority	source_authority	cad_core_landing	oracle_or_diagnostic	validation	acceptance_boundary	next_owner
C51-SCOPE-301	C51-S3	feature-family	Loft Closed/multi-wire MapperSewing parent	done_c51s3_supported	C51-P1	src/Mod/PartDesign/App/FeatureLoft.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/TopoShapeMapper.cpp	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-311;C51-ORC-312;C51-ORC-313	C51-VAL-301	Loft advanced known gaps are active parity targets;no exact topo blocker remains for S3	done_C51-S3
C51-SCOPE-311	C51-S3	semantic-batch	Loft profile/section wire ledger and explicit subelement selection	done_c51s3_supported	C51-P1	src/Mod/PartDesign/App/FeatureLoft.cpp::getSectionShape;src/Mod/PartDesign/App/FeatureLoft.cpp::Loft::execute	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape.cpp	C51-ORC-311	C51-VAL-311	Profile/Sections wire counts, vertices, multi-wire ordering and sketch subelement rules match FreeCAD before OCCT loft	done_C51-S3
C51-SCOPE-312	C51-S3	semantic-batch	Loft Closed multi-section parity	done_c51s3_supported	C51-P1	src/Mod/PartDesign/App/FeatureLoft.cpp::Loft::execute;src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeElementLoft	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part/shape_exporter.cpp	C51-ORC-312	C51-VAL-312	Closed=true with 3+ profiles passes active c5m3/c51m3 native expected parity	done_C51-S3
C51-SCOPE-313	C51-S3	semantic-batch	Loft MapperThruSections and MapperSewing propagation	done_c51s3_supported	C51-P1	src/Mod/Part/App/TopoShapeExpansion.cpp::MapperThruSections;src/Mod/Part/App/TopoShapeExpansion.cpp::MapperSewing;src/Mod/PartDesign/App/FeatureLoft.cpp BRepBuilderAPI_Sewing	cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part_design/feature_loft.cpp	C51-ORC-313	C51-VAL-313	ElementMap consumes generated/modified sewing history for front/back/shell;no executor synthetic aliases	done_C51-S3
C51-SCOPE-401	C51-S4	feature-family	Pipe orientation/transformation/sewing parent	done_c51s4_supported_with_exact_source_blockers	C51-P1	src/Mod/PartDesign/App/FeaturePipe.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/TopoShapeMapper.cpp	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/topo	C51-ORC-411;C51-ORC-412;C51-ORC-413;C51-ORC-414	C51-VAL-401	Pipe advanced branches covered by native expected;only source-commented tangent/scaling laws remain exact blockers	done_C51-S4
C51-SCOPE-411	C51-S4	semantic-batch	Pipe path expansion and SpineTangent	done_c51s4_supported_with_exact_tangent_blocker	C51-P1	src/Mod/PartDesign/App/FeaturePipe.cpp::buildPipePath/getContinuousEdges;src/Mod/PartDesign/App/FeaturePipe.cpp::SpineTangent	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-411	C51-VAL-411	Selected spine EdgeN path passes native expected;SpineTangent/AuxiliarySpineTangent exact blocker cites commented getContinuousEdges call	done_C51-S4
C51-SCOPE-412	C51-S4	semantic-batch	Pipe orientation modes Fixed/Auxiliary/Binormal	done_c51s4_supported	C51-P1	src/Mod/PartDesign/App/FeaturePipe.cpp::setupAlgorithm;ModeEnums;AuxiliarySpine;AuxiliaryCurvilinear;Binormal	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-412	C51-VAL-412	Fixed/Auxiliary/Binormal map to BRepOffsetAPI_MakePipeShell SetMode variants with native expected and mode-specific diagnostics	done_C51-S4
C51-SCOPE-413	C51-S4	semantic-batch	Pipe transition and scaling laws	done_c51s4_supported_with_exact_scaling_blocker	C51-P1	src/Mod/PartDesign/App/FeaturePipe.cpp::setupAlgorithm;TransitionEnums;TransformationEnums;ScalingData	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-413	C51-VAL-413	Round corner passes native expected;Transformation Linear/S-shape/Interpolation remain exact source blockers because scaling law code is commented	done_C51-S4
C51-SCOPE-414	C51-S4	semantic-batch	Pipe front/back sewing history	done_c51s4_supported	C51-P1	src/Mod/PartDesign/App/FeaturePipe.cpp::Pipe::execute BRepBuilderAPI_Sewing;src/Mod/Part/App/TopoShapeExpansion.cpp::MapperSewing	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/topo	C51-ORC-414	C51-VAL-414	Front/back face sewing and shell solidification propagate MapperSewing ElementMap without output-side pruning	done_C51-S4
C51-SCOPE-501	C51-S5	lifecycle	Datum AttachEngine and AttachmentSupport writeback parent	done_c51s5_supported_with_exact_remaining_modes	C51-P0	src/Mod/Part/App/AttachExtension.cpp;src/Mod/Part/App/Attacher.cpp;src/Mod/Part/App/Attacher.h;src/App/PropertyLinks.cpp;src/Mod/PartDesign/App/Datum*.cpp	cad-core/src/part_design/datum_*;cad-core/src/app/property_links.cpp;cad-core/src/runtime/recompute.cpp	C51-ORC-511;C51-ORC-512;C51-ORC-513;C51-ORC-514	C51-VAL-501	selected map modes plus input-driven writeback implemented without backend session;GUI editor remains non-goal;remaining modes are exact blocker	done_C51-S5
C51-SCOPE-511	C51-S5	semantic-batch	AttachEngine 3D/Plane selected map modes	done_c51s5_supported	C51-P0	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::AttachEngine3D::_calculateAttachedPlacement;src/Mod/PartDesign/App/DatumPlane.cpp	cad-core/src/part_design/datum_attachment.cpp;cad-core/src/part_design/datum_plane.cpp;cad-core/src/topo	C51-ORC-511	C51-VAL-511	FlatFace/ObjectXY/ObjectXZ/ObjectYZ placement uses request graph support shape/subname and expected-backed fixture	done_C51-S5
C51-SCOPE-512	C51-S5	semantic-batch	AttachEngine Line/Point selected map modes	done_c51s5_supported	C51-P0	src/Mod/Part/App/Attacher.cpp::AttachEngineLine::_calculateAttachedPlacement;src/Mod/Part/App/Attacher.cpp::AttachEnginePoint::_calculateAttachedPlacement;src/Mod/PartDesign/App/DatumLine.cpp;src/Mod/PartDesign/App/DatumPoint.cpp	cad-core/src/part_design/datum_line.cpp;cad-core/src/part_design/datum_point.cpp;cad-core/src/part_design/datum_attachment.cpp	C51-ORC-512	C51-VAL-512	ObjectOrigin/ObjectX/ObjectY/ObjectZ/NormalToEdge selected modes have expected-backed placement and exact insufficiency diagnostics	done_C51-S5
C51-SCOPE-513	C51-S5	semantic-batch	AttachmentOffset MapReversed MapPathParameter composition	done_c51s5_supported	C51-P0	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::AttachEngine::setUp/calculateAttachedPlacement	cad-core/src/part_design/datum_attachment.cpp;cad-core/src/runtime/recompute.cpp	C51-ORC-513	C51-VAL-513	Offset/reverse/path parameter combine with selected modes in focused fixtures and diagnostics	done_C51-S5
C51-SCOPE-514	C51-S5	semantic-batch	Input-driven AttachmentSupport shadow-sub writeback	done_c51s5_supported	C51-P0	src/Mod/Part/App/AttachExtension.cpp::positionBySupport subChanged;src/Mod/Part/App/Attacher.cpp::calculateAttachedPlacement shadowSubs;src/App/PropertyLinks.cpp::updateElementReferences/_updateElementReference/PropertyLinkSubList::setValues	cad-core/src/app/property_links.cpp;cad-core/src/runtime/recompute.cpp;cad-core/src/part_design/datum_attachment.cpp;cad-core/src/adapters/c_api/c_api.cpp	C51-ORC-514	C51-VAL-514	documentObjectUpdates/elementReferenceUpdates are derived only from request StableSubList/ShadowSub/ReferenceShadow/old subname/current graph;no backend session	done_C51-S5
C51-SCOPE-601	C51-S6	process	C5.1 freeze	done_c51s6_freeze	C51-P0	docs/CADCore5.1-PartDesign-剩余deferred语义实现;cad-core capability metadata;cad-core fixtures/tests	docs;cad-core/tests;cad-core/src/adapters/c_api/c_api.cpp	C51 freeze summary	C51-VAL-601	C51 queue empty;remaining rows are exact blockers only;Attachment non-goal is GUI-only and cross-request backend attachment session remains non-goal	done_C51-S6
