id	phase	fixture_family	status	source_authority	cad_core_landing	freecad_oracle_source	cad_core_fixture_target	expected_fields	validation	next_owner	notes
C51-ORC-313	C51-S3	Loft MapperThruSections/MapperSewing ElementMap	done_topo_history	src/Mod/Part/App/TopoShapeExpansion.cpp::MapperThruSections/MapperSewing;src/Mod/PartDesign/App/FeatureLoft.cpp BRepBuilderAPI_Sewing	cad-core/fixtures/c51m3	FreeCADCmd native collector plus ElementMap trace fixture	cad-core/fixtures/c51m3/expected	front face;back face;shells;generated/modified history;ElementMap aliases;stable subnames;AddSubShape source ownership	C51-VAL-313	done_C51-S3	No output-side alias synthesis;history propagation belongs to topo namedShapeForThruSectionsHistory/namedShapeForSewingHistory
C51-ORC-411	C51-S4	Pipe path and SpineTangent	done_native_oracle_with_exact_tangent_blocker	src/Mod/PartDesign/App/FeaturePipe.cpp::buildPipePath/getContinuousEdges/SpineTangent	cad-core/fixtures/c51m4	FreeCADCmd native collector plus source audit	cad-core/fixtures/c51m4/expected	Selected EdgeN spine path;Profile/Sections first explicit subelement behavior;SpineTangent/AuxiliarySpineTangent source-backed unsupported_property	C51-VAL-411	done_C51-S4	Expected file partdesign-pipe-selected-spine-multisection covers selected EdgeN;source blocker fixture cites commented getContinuousEdges call
C51-ORC-412	C51-S4	Pipe Fixed/Auxiliary/Binormal orientation	done_native_oracle	src/Mod/PartDesign/App/FeaturePipe.cpp::setupAlgorithm;ModeEnums;AuxiliarySpine;AuxiliaryCurvilinear;Binormal	cad-core/fixtures/c51m4	FreeCADCmd native collector	cad-core/fixtures/c51m4/expected	Mode=Fixed;Mode=Auxiliary;AuxiliarySpine;AuxiliaryCurvilinear;Mode=Binormal;Binormal vector;BRepOffsetAPI_MakePipeShell SetMode path;diagnostics for missing auxiliary/binormal	C51-VAL-412	done_C51-S4	Expected files partdesign-pipe-fixed-round-body and partdesign-pipe-auxiliary-binormal-modes cover setupAlgorithm variants
C51-ORC-413	C51-S4	Pipe transition and scaling laws	done_native_oracle_with_exact_scaling_blocker	src/Mod/PartDesign/App/FeaturePipe.cpp::setupAlgorithm;TransitionEnums;TransformationEnums;ScalingData	cad-core/fixtures/c51m4	FreeCADCmd native collector plus source audit for commented laws	cad-core/fixtures/c51m4/expected	Transition=Round corner;Transformation=Linear/S-shape/Interpolation exact source-backed diagnostic	C51-VAL-413	done_C51-S4	Round corner expected passes;ScalingData law code is commented in FeaturePipe.cpp, so law modes are exact blockers not broad deferred
C51-ORC-414	C51-S4	Pipe front/back MapperSewing	done_topo_history	src/Mod/PartDesign/App/FeaturePipe.cpp::Pipe::execute BRepBuilderAPI_Sewing;src/Mod/Part/App/TopoShapeExpansion.cpp::MapperSewing	cad-core/fixtures/c51m4	FreeCADCmd native collector plus ElementMap trace fixture	cad-core/fixtures/c51m4/expected	frontwires;backwires;frontface/backface;sewer.SewedShape;generated/modified history;solidification;stable subnames;AddSubShape ownership	C51-VAL-414	done_C51-S4	Full sewing is topo/history work via namedShapeForSewingHistory;feature_pipe does not patch aliases after export
C51-ORC-511	C51-S5	AttachEngine 3D/Plane selected modes	done_c51s5_expected_backed	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::AttachEngine3D::_calculateAttachedPlacement;src/Mod/PartDesign/App/DatumPlane.cpp	cad-core/fixtures/c51m5	FreeCADCmd native collector datum payload plus checked-in expected	cad-core/fixtures/c51m5/expected	FlatFace;ObjectXY;ObjectXZ;ObjectYZ;support object/subname;placement position/rotation;diagnostic for missing support/non-planar face	C51-VAL-511	done_C51-S5	GUI editor is not oracle;request graph properties are oracle input
C51-ORC-512	C51-S5	AttachEngine Line/Point selected modes	done_c51s5_expected_backed	src/Mod/Part/App/Attacher.cpp::AttachEngineLine::_calculateAttachedPlacement;src/Mod/Part/App/Attacher.cpp::AttachEnginePoint::_calculateAttachedPlacement;src/Mod/PartDesign/App/DatumLine.cpp;src/Mod/PartDesign/App/DatumPoint.cpp	cad-core/fixtures/c51m5	FreeCADCmd native collector datum payload plus checked-in expected	cad-core/fixtures/c51m5/expected	ObjectOrigin;ObjectX;ObjectY;ObjectZ;NormalToEdge;edge/vertex support;placement axis/base;diagnostic for invalid edge/shape	C51-VAL-512	done_C51-S5	First batch is selected non-GUI modes only;other modes become exact later blockers, not GUI non-goal
C51-ORC-513	C51-S5	AttachmentOffset MapReversed MapPathParameter	done_c51s5_expected_backed	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::setUp/calculateAttachedPlacement	cad-core/fixtures/c51m5	FreeCADCmd native collector datum payload plus checked-in expected	cad-core/fixtures/c51m5/expected	AttachmentOffset position/rotation;MapReversed;MapPathParameter;selected mode combinations;placement tolerance;field-specific diagnostics	C51-VAL-513	done_C51-S5	Fields are request properties, not GUI/editor state
C51-ORC-514	C51-S5	AttachmentSupport shadow-sub writeback	done_c51s5_input_writeback_fixture	src/Mod/Part/App/AttachExtension.cpp::positionBySupport subChanged;src/Mod/Part/App/Attacher.cpp::calculateAttachedPlacement shadowSubs;src/App/PropertyLinks.cpp::updateElementReferences/_updateElementReference/PropertyLinkSubList::setValues	cad-core/fixtures/c51m5	FreeCADCmd native collector plus request input/writeback fixtures	cad-core/fixtures/c51m5/expected	StableSubList;ShadowSub oldName/newName;ReferenceShadow single subshape brep;old subname;current graph;documentObjectUpdates;AttachmentSupport.SubList;ShadowSub retention;elementReferenceUpdates;downstream attached Datum references	C51-VAL-514	done_C51-S5	ReferenceShadow.brep is recovery evidence only, not modeling input;backend stores no session
C51-ORC-601	C51-S6	freeze	done_c51s6_freeze	docs;cad-core capability metadata;cad-core fixtures/tests	cad-core/tests;docs	final regression	docs/CADCore5.1-PartDesign-剩余deferred语义实现	C51 summary;capability metadata;remaining exact blockers;GUI-only non-goal;cross-request attachment session non-goal	C51-VAL-601	done_C51-S6	Freeze validation is C51-VAL-601;no new oracle family remains pending in C51
