id	step	status	priority	blocker	source_authority	cad_core_landing	oracle_or_diagnostic	validation	next_owner	exit_condition
C51-BLK-301	C51-S3	done_c51s3_supported	C51-P1	Loft Closed/multi-wire/full MapperSewing parent closed by child blockers	src/Mod/PartDesign/App/FeatureLoft.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/TopoShapeMapper.cpp	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-311;C51-ORC-312;C51-ORC-313	C51-VAL-301	done_C51-S3	child blockers C51-BLK-311..313 closed;C5 Loft known-gap expected is active in c5m3 and mirrored in c51m3
C51-BLK-311	C51-S3	done_c51s3_supported	C51-P1	Loft profile/section wire ledger follows FreeCAD getSectionShape rules	src/Mod/PartDesign/App/FeatureLoft.cpp::getSectionShape/Loft::execute	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape.cpp	C51-ORC-311	C51-VAL-311	done_C51-S3	Wire/vertex count, multi-wire ordering, sketch Vertex vs full-sketch subelement rule, and structured mismatch diagnostics are covered by focused fixtures/tests
C51-BLK-312	C51-S3	done_c51s3_supported	C51-P1	Closed/multi-section Loft known_gap converted to active parity target	src/Mod/PartDesign/App/FeatureLoft.cpp::Loft::execute;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementLoft	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part/shape_exporter.cpp	C51-ORC-312	C51-VAL-312	done_C51-S3	Closed=true c5m3/c51m3 fixtures pass native bbox/volume/topology parity without expected relaxation
C51-BLK-313	C51-S3	done_c51s3_supported	C51-P1	Loft MapperThruSections/MapperSewing history propagated through topo NamedShape/ElementMap	src/Mod/Part/App/TopoShapeExpansion.cpp::MapperThruSections/MapperSewing;src/Mod/PartDesign/App/FeatureLoft.cpp BRepBuilderAPI_Sewing	cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part_design/feature_loft.cpp	C51-ORC-313	C51-VAL-313	done_C51-S3	ElementMap consumes generated/modified history in topo;old diagnostic fallback removed without synthetic executor aliases
C51-BLK-401	C51-S4	done_c51s4_supported_with_exact_source_blockers	C51-P1	Pipe advanced orientation/transformation/sewing broad deferred removed;only source-commented tangent/scaling exact blockers remain	src/Mod/PartDesign/App/FeaturePipe.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-411;C51-ORC-412;C51-ORC-413;C51-ORC-414	C51-VAL-401	done_C51-S4	child blockers C51-BLK-411..414 closed by native expected or exact source-backed blockers;capability deferred=[] remaining_gaps=[]
C51-BLK-411	C51-S4	done_c51s4_supported_with_exact_tangent_blocker	C51-P1	Pipe selected spine path supported;SpineTangent/AuxiliarySpineTangent exact blocker because FreeCAD getContinuousEdges call is commented	src/Mod/PartDesign/App/FeaturePipe.cpp::buildPipePath/getContinuousEdges/SpineTangent	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-411	C51-VAL-411	done_C51-S4	Selected EdgeN spine fixture passes native expected;SpineTangent emits source-backed unsupported_property, not broad deferred
C51-BLK-412	C51-S4	done_c51s4_supported	C51-P1	Pipe Fixed/Auxiliary/Binormal orientation modes implemented through setupAlgorithm SetMode variants	src/Mod/PartDesign/App/FeaturePipe.cpp::setupAlgorithm;ModeEnums;AuxiliarySpine;AuxiliaryCurvilinear;Binormal	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-412	C51-VAL-412	done_C51-S4	Fixed/Round Body and Auxiliary/Binormal fixtures pass native expected;missing auxiliary/binormal stay field diagnostics
C51-BLK-413	C51-S4	done_c51s4_supported_with_exact_scaling_blocker	C51-P1	Pipe Round corner supported;Transformation Linear/S-shape/Interpolation exact blocker because FreeCAD ScalingData laws are commented	src/Mod/PartDesign/App/FeaturePipe.cpp::setupAlgorithm;TransitionEnums;TransformationEnums;ScalingData	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-413	C51-VAL-413	done_C51-S4	Round corner expected passes;scaling-law fixture emits source-backed unsupported_property for each law mode
C51-BLK-414	C51-S4	done_c51s4_supported	C51-P1	Pipe front/back cap sewing MapperHistory propagated through topo NamedShape/ElementMap	src/Mod/PartDesign/App/FeaturePipe.cpp BRepBuilderAPI_Sewing;src/Mod/Part/App/TopoShapeExpansion.cpp::MapperSewing	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/topo	C51-ORC-414	C51-VAL-414	done_C51-S4	Front/back face and shell solidification consume MapperSewing in topo;feature_pipe does not synthesize output aliases
C51-BLK-501	C51-S5	done_c51s5_supported_with_exact_remaining_modes	C51-P0	Datum AttachEngine selected modes and AttachmentSupport writeback implemented for first non-GUI batch;remaining modes are exact blocker	src/Mod/Part/App/AttachExtension.cpp;src/Mod/Part/App/Attacher.cpp;src/App/PropertyLinks.cpp;src/Mod/PartDesign/App/Datum*.cpp	cad-core/src/part_design/datum_*;cad-core/src/app/property_links.cpp;cad-core/src/runtime/recompute.cpp	C51-ORC-511;C51-ORC-512;C51-ORC-513;C51-ORC-514	C51-VAL-501	done_C51-S5	child blockers C51-BLK-511..514 closed;C51-NG-002 remains GUI-only;remaining unselected AttachEngine modes are datum_attach_engine_remaining_modes
C51-BLK-511	C51-S5	done_c51s5_supported	C51-P0	FlatFace/ObjectXY/ObjectXZ/ObjectYZ selected map modes use request-local AttachEngine	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::AttachEngine3D::_calculateAttachedPlacement;src/Mod/PartDesign/App/DatumPlane.cpp	cad-core/src/part_design/datum_attachment.cpp;cad-core/src/part_design/datum_plane.cpp	C51-ORC-511	C51-VAL-511	done_C51-S5	3D/Plane selected modes have expected-backed placement and unsupported-mode diagnostics stay exact
C51-BLK-512	C51-S5	done_c51s5_supported	C51-P0	ObjectOrigin/ObjectX/ObjectY/ObjectZ/NormalToEdge selected modes support Line/Point engine remap and path parameter	src/Mod/Part/App/Attacher.cpp::AttachEngineLine::_calculateAttachedPlacement;AttachEnginePoint::_calculateAttachedPlacement;src/Mod/PartDesign/App/DatumLine.cpp;DatumPoint.cpp	cad-core/src/part_design/datum_line.cpp;cad-core/src/part_design/datum_point.cpp;cad-core/src/part_design/datum_attachment.cpp	C51-ORC-512	C51-VAL-512	done_C51-S5	Line/Point selected modes pass expected-backed placement and emit exact insufficiency diagnostics
C51-BLK-513	C51-S5	done_c51s5_supported	C51-P0	AttachmentOffset/MapReversed/MapPathParameter composition implemented for selected modes	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::setUp/calculateAttachedPlacement	cad-core/src/part_design/datum_attachment.cpp;cad-core/src/runtime/recompute.cpp	C51-ORC-513	C51-VAL-513	done_C51-S5	Offset/reverse/path parameter fixtures pass for selected modes and do not require GUI state
C51-BLK-514	C51-S5	done_c51s5_supported	C51-P0	AttachmentSupport shadow-sub and downstream reference writeback are input-driven suggestions	src/Mod/Part/App/AttachExtension.cpp::positionBySupport;src/Mod/Part/App/Attacher.cpp::calculateAttachedPlacement shadowSubs;src/App/PropertyLinks.cpp::updateElementReferences/_updateElementReference/PropertyLinkSubList::setValues	cad-core/src/app/property_links.cpp;cad-core/src/runtime/recompute.cpp;cad-core/src/part_design/datum_attachment.cpp;cad-core/src/adapters/c_api/c_api.cpp	C51-ORC-514	C51-VAL-514	done_C51-S5	documentObjectUpdates/elementReferenceUpdates derive only from request StableSubList/ShadowSub/ReferenceShadow/old subname/current graph
C51-BLK-601	C51-S6	done_c51s6_freeze	C51-P0	C5.1 docs/capabilities/fixtures/tests frozen	docs/CADCore5.1-PartDesign-剩余deferred语义实现;cad-core capability metadata;cad-core fixtures/tests	cad-core/src/adapters/c_api/c_api.cpp;cad-core/tests;docs	C51 freeze summary	C51-VAL-601	done_C51-S6	S0-S5 parent rows closed only after child rows supported or exact blockerized;remaining exact blockers are partdesign_groove_upto_brepfeat_cut_native_failure, partdesign_pipe_transformation_laws_source_commented, partdesign_pipe_spine_tangent_source_commented, datum_attach_engine_remaining_modes;Attachment non-goal is GUI-only and backend attachment session is non-goal
