id	phase	kind	scope	status	priority	source_authority	cad_core_landing	oracle_or_diagnostic	validation	acceptance_boundary	next_owner
C5-SCOPE-1001	C5-M10	feature-family	Part Workbench Sweep Advanced PipeShell Contract	done_c5m10_capability_docs_closed	C5-P0	src/Mod/Part/App/PartFeatures.cpp;src/Mod/Part/App/BRepOffsetAPI_MakePipeShell.pyi;src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp;src/Mod/PartDesign/App/FeaturePipe.cpp	cad-core/src/part/part_sweep.cpp;cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-1001 live guard;C5-ORC-1002 source/DTO/oracle matrix;C5-ORC-1003 auxiliary/support/binormal source-diagnostic-backed;C5-ORC-1004 location/tolerance/combo source-diagnostic-backed;C5-ORC-1005 capability closeout	C5-VAL-1005	S2 publishes source-backed AuxiliarySpine/Binormal and diagnostic-backed SupportMode plus invalid payload coverage; S3 publishes SectionOptions Location/WithContact/WithCorrection and Tolerance triples with source-backed known_gap expected; S4 closes the broad advanced bucket into field-level part_sweep_wrapper_expected_collector and package queue is empty	done_C5-M10
C5-SCOPE-1101	C5-M11	oracle	Part Workbench Sweep Wrapper Expected Parity	done_c5m11_capability_docs_closed	C5-P0	src/Mod/Part/App/BRepOffsetAPI_MakePipeShell.pyi;src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp;src/Mod/PartDesign/App/FeaturePipe.cpp;src/Mod/Part/App/PartFeatures.cpp;cad-core/fixtures/c5m10/expected	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c5m10;cad-core/tests/test_p8_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-1101 S0 live gap done;C5-ORC-1102 S1 collector design done;C5-ORC-1103 S2 expected batch done;C5-ORC-1104 tests/capability done;C5-ORC-1105 docs closeout done	C5-VAL-1105	Auxiliary/Binormal/Tolerance are wrapper expected-backed; support is diagnostic-only; located-profile and combined are FreeCADCmd NCollection_Array1::Value blockers; native Part::Sweep direct-property boundary remains unchanged; broad collector gap deleted	done_C5-M11
C5-SCOPE-1201	C5-M12	oracle	Part Workbench Surface Native Oracle Recovery	done_c5m12_capability_docs_closed	C5-P0	src/Mod/Part/App/PartFeatures.cpp;src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp;src/Mod/Part/App/AppPartPy.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/GeomPlate;docs/CADCore3.0/capabilities-gap对照表.md	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c5m12;cad-core/tests/test_p8_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-1201 S0 live guard done;C5-ORC-1202 S1 probe matrix done;C5-ORC-1203 S2 sweep support done;C5-ORC-1204 Loft complex profile done;C5-ORC-1205 Filling/GeomPlate oracle done;C5-ORC-1206 closeout done	C5-VAL-1206	S2-S5 recovered all collectable native helper/wrapper representatives and narrowed uncollectable helpers: Sweep located/combined stay NCollection_Array1 blockers, Loft sketch subelement stays native-hidden, Filling support/surface/params/non-boundary support-order stay FreeCADCmd blockers, and GeomPlate G1/Projected stay native-hidden/RuntimeError blockers; package queue is empty	done_C5-M12
C5-SCOPE-1301	C5-M13	oracle	Part Workbench Surface Narrowed Blocker Recovery	done_c5m13_surface_narrowed_blocker_recovery	C5-P0	src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp;src/Mod/Part/App/AppPartPy.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/GeomPlate;docs/CADCore3.0/capabilities-gap对照表.md	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c5m13;cad-core/tests/test_p8_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-1301 done S0 live guard;C5-ORC-1302 done S1 root-cause probes: Sweep native-runtime, Filling partial params collectable plus runtime blockers, GeomPlate native-hidden/RuntimeError/NotImplemented/non-goal;C5-ORC-1303 done S2 Sweep location/combined narrowed to Location overload build-stage blocker;C5-ORC-1304 done S3 Filling helper parameter expected/blocker split;C5-ORC-1305 done S4 GeomPlate native oracle;C5-ORC-1306 done S5 docs/capability closeout	C5-VAL-1306	C5-M12 remaining blockers are either expected-backed or narrowed with exact evidence; Loft broad complex_profile_family, complete Part surface family, GUI/native DocumentObject, persistent wrapper lifecycle and cad-core-output-derived expected remain closed non-goals	done_C5-M13
C5-SCOPE-1401	C5-M14	feature-family	DatumPoint ProximityPoint AttachEngine	done_c5m14_capability_docs_closed	C5-P0	src/Mod/Part/App/Attacher.cpp::AttachEnginePoint;src/Mod/Part/App/AttachExtension.cpp;src/App/PropertyLinks.cpp	cad-core/src/part_design/datum_attachment.h;cad-core/fixtures/c51m5;cad-core/tests/test_p7_features.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-1401 done expected-backed ProximityPoint1/2;package matrices c5m14_datum_point_proximity_*;C5-M14 S6 release gate	C5-VAL-1401	ProximityPoint1/2 are expected-backed and removed from exact blockers; IntersectionPoint, Focus/curvature, Frenet/Concentric, three-point/folding, GUI/session and C5-M13 Part Workbench surface remain out of scope	done_C5-M14
C5-SCOPE-1501	C5-M15	feature-family	Datum3DPlane AttachEngine	done_c5m15_expected_backed_capability_closed	C5-P0	src/Mod/Part/App/Attacher.cpp::AttachEngine3D::_calculateAttachedPlacement;src/Mod/Part/App/AttachExtension.cpp;src/App/PropertyLinks.cpp	cad-core/src/part_design/datum_attachment.h;cad-core/fixtures/c51m5;cad-core/tests/test_p7_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-1501 done expected-backed Datum3DPlane modes;package matrices c5m15_datum_3d_plane_* closed through S6	C5-VAL-1501;C5-VAL-1502	C5-M15 batches Translate, TangentPlane, ThreePointsPlane and ThreePointsNormal under one AttachEngine3D/c51m5 closure; FreeCADCmd expected, focused tests and capability closeout passed; Folding, curve frame, curvature/conic landmarks, IntersectionPoint and GUI/session remain out of scope	done_C5-M15
C5-SCOPE-1601	C5-M16	feature-family	Datum CurveFrame / Curvature AttachEngine	done_c5m16_expected_backed_capability_closed	C5-P0	src/Mod/Part/App/Attacher.cpp::AttachEngine3D::_calculateAttachedPlacement;AttachEngineLine::_calculateAttachedPlacement;AttachEnginePoint::_calculateAttachedPlacement;src/Mod/Part/App/AttachExtension.cpp;src/App/PropertyLinks.cpp	cad-core/src/part_design/datum_attachment.h;cad-core/src/part_design/datum_line.cpp;cad-core/src/part_design/datum_point.cpp;cad-core/fixtures/c51m5;cad-core/tests/test_p7_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5M16-ORC-001 done S5 release gate freeze;C5-ORC-1601 done expected-backed curve-frame/curvature modes;package matrices c5m16_datum_curve_frame_* closed through S6	C5-VAL-1601;C5-VAL-1602	C5-M16 closes shared curve-frame and curvature-center modes after C5-M15 S6: FreeCADCmd expected, cad-core helper, diagnostics, focused tests and adapter capability agree for FrenetNB/TN/TB, Concentric, SectionOfRevolution, AxisOfCurvature, Normal, Binormal and CenterOfCurvature. NormalToPath remains helper-only; Folding, conic landmarks, IntersectionPoint, TangentU/V and GUI/session remain out of scope; request-local response, no backend session and ReferenceShadow.brep single-subshape boundary remain unchanged	done_C5-M16
C5-SCOPE-1701	C5-M17	feature-family	Datum Remaining AttachEngine / Conic Landmark	done_c5m17_expected_backed_capability_closed	C5-P0	cad-core/src/adapters/c_api/c_api.cpp;src/Mod/Part/App/Attacher.h:60-96,519;src/Mod/Part/App/Attacher.cpp::AttachEngineLine::_calculateAttachedPlacement;AttachEnginePoint::_calculateAttachedPlacement;AttachEngine3D::_calculateAttachedPlacement;Attacher.cpp:1313,1644-1668,1938-2064,2309-2346,2432,2703-2752;cad-core/src/part_design/datum_attachment.h	cad-core/src/part_design/datum_attachment.h;cad-core/src/part_design/datum_line.cpp;cad-core/src/part_design/datum_point.cpp;cad-core/fixtures/c51m5;cad-core/tests/test_p7_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C5M17-ORC-001 done S6 release gate;C5-ORC-1701 done expected-backed conic oracle;package matrices c5m17_datum_remaining_attach_engine_* closed through S6	C5-VAL-1700;C5-VAL-1701;C5-VAL-1702;C5-VAL-1703;C5-VAL-1704;C5-VAL-1705;C5-VAL-1706;C5-VAL-1707	S6 keeps request-local placement/capability boundary: backend consumes only request graph support shape/subname/MapMode/AttachmentOffset/MapReversed, response returns placement/diagnostics/update suggestions only, no backend session or complete BREP is stored, and ReferenceShadow.brep is only a single-subshape snapshot exception. Conic landmarks Directrix1/2, Asymptote1/2 and Focus1/2 are expected-backed. Folding remains a four-line fold-angle later package, IntersectionPoint remains face/face DTO/API source-audit work, and TangentU/V remains a surface tangent package	done_C5-M17
C5-SCOPE-1801	C5-M18	feature-family	Datum Folding AttachEngine	done_c5m18_expected_backed_capability_closed	C5-P0	cad-core/src/runtime/capability_contract.cpp;src/Mod/Part/App/Attacher.cpp::AttachEngine3D::_calculateAttachedPlacement;Attacher.cpp:1313,1947-2056,2309-2346;src/Mod/Part/App/AttachExtension.cpp;cad-core/src/part_design/datum_attachment.h	cad-core/src/part_design/datum_attachment.h;cad-core/src/part_design/datum_plane.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c51m5;cad-core/tests/test_p7_features.py;cad-core/tests/test_adapters.py;cad-core/src/runtime/capability_contract.cpp	C5M18-ORC-001 done expected-backed Folding success;C5M18-ORC-201 done diagnostic-backed invalid Folding;C5M18-ORC-501 done capability closeout;package matrices c5m18_datum_folding_* closed through S6	C5-VAL-1800;C5-VAL-1801;C5-VAL-1802;C5-VAL-1803;C5-VAL-1804;C5-VAL-1805;C5-VAL-1806;C5-VAL-1807	S6 keeps request-local placement/capability boundary: backend consumes only request graph support shape/subname/MapMode/AttachmentOffset/MapReversed, response returns placement/diagnostics/update suggestions only, no backend session or complete BREP is stored, and ReferenceShadow.brep is only a single-subshape snapshot exception. Folding for DatumPlane and CoordinateSystem is expected-backed. TangentU/V and IntersectionPoint remain exact blockers or later packages	done_C5-M18
C5-SCOPE-1901	C5-M19	source-audit	Datum AttachEngine remaining modes source audit closeout	done_source_audited_capability_closed	C5-P0	src/Mod/Part/App/Attacher.h:83-95;src/Mod/Part/App/Attacher.cpp:110-122,555-561,1651-1663,2394-2434,2444-2798,2827-2857,2866-3018;cad-core/src/runtime/capability_contract.cpp	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M19-DatumAttachEngineSourceAuditCloseout主线/矩阵	C5M19-ORC-001 done source audit;C5M19-ORC-301 done IntersectionLine guard;C5M19-ORC-501 done capability closeout	C5-VAL-1900;C5-VAL-1901;C5-VAL-1902;C5-VAL-1903;C5-VAL-1904;C5-VAL-1905;C5-VAL-1906	C5-M19 proves TangentU, TangentV and IntersectionPoint are not executable AttachEngine routes because they lack modeRefTypes and calculate branches; IntersectionLine remains supported as DatumLine mm1Intersection; exact blocker datum_attach_engine_remaining_modes is removed and the three names become source-audited non-goals; no DTO, fixture, expected, backend session or complete BREP state is added	done_C5-M19
C5-SCOPE-2001	C5-M20	oracle	Part Workbench Filling precise blocker recovery	done_precise_blocker_source_audited	C5-P0	src/Mod/Part/App/AppPartPy.cpp::makeFilledFace;src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeElementFilledFace;src/Mod/Part/App/BRepOffsetAPI_MakeFillingPyImp.cpp;cad-core/src/part/part_filling.cpp	cad-core/src/part/part_filling.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/tools/collect_freecad_expected.py;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M20-PartWorkbenchFillingPreciseBlockerRecovery主线/矩阵	C5M20-ORC-001 live freeze;C5M20-ORC-201 Surface/support-order probe;C5M20-ORC-301 params probe;C5M20-ORC-401 direct wrapper control;C5M20-ORC-501 release gate	C5M20-VAL-001;C5M20-VAL-002;C5M20-VAL-003;C5M20-VAL-004;C5M20-VAL-005;C5M20-VAL-006	C5-M20 proves no remaining Part.makeFilledFace precise blocker has stable helper expected on current FreeCADCmd; direct BRepOffsetAPI_MakeFilling controls are source-audited evidence only; no fixture, expected, collector supported path or C++ fallback is added	done_C5-M20
