id	slice	freecad_authority	cad_core_landing	required_evidence	step	status
FGMN1-SLICE-013	child_map	src/App/ElementMap.cpp::addChildElements/hashChildMaps	cad-core/src/part/topo_shape.cpp child-map helpers	typed range;offset/count/tag/postfix/refs;nested snapshot;expand/hash decision	S2	pending
FGMN1-SLICE-014	toposhape.set_shape	src/Mod/Part/App/TopoShape.cpp::setShape/copy/move	cad-core/src/part/topo_shape.cpp NamedShape creation/copy/property paths	shape role;tag;hasher/map identity;reset flag;before/after ledger	S3	pending
FGMN1-SLICE-015	toposhape.can_map	src/Mod/Part/App/TopoShapeExpansion.cpp::canMapElement	cad-core/src/part/topo_shape.cpp maker admission guards	source/result tag;hasher identity;shape null/type/count;allowed/rejected reason	S3	pending
FGMN1-SLICE-016	toposhape.copy_map	src/Mod/Part/App/TopoShapeExpansion.cpp::copyElementMap	cad-core/src/part/topo_shape.cpp preserved/property/child copy paths	partner decision;V/E/F ranges;source/result tag;operation;copy/share identity	S3	pending
FGMN1-SLICE-017	toposhape.map_sub_element	src/Mod/Part/App/TopoShapeExpansion.cpp::mapSubElement	cad-core/src/part/topo_shape.cpp::collectSourceElementMap/applyMakerPreservedElementMap	source/result type;partner/compound/ancestry branch;findAll ordinal;target;write result	S3	pending
FGMN1-SLICE-018	mapper.populate/mapper.insert/mapper.query	src/Mod/Part/App/TopoShapeMapper.cpp::MapperMaker/MapperHistory	cad-core/src/part/topo_shape.cpp maker raw history consumption;src/part/topo_shape_mapper.cpp public history	OCCT raw M/G/D;target order;exclusion/duplicate/fallback/query result	S3	pending
FGMN1-SLICE-019	mapper.snapshot	src/Mod/Part/App/TopoShapeExpansion.cpp before makeShapeWithElementMap consumption	cad-core/src/part/topo_shape.cpp::namedShapeForMakerHistory before naming consumption	complete source-indexed Modified/Generated/Deleted adjacency and output inventory	S3	pending
FGMN1-SLICE-020	maker.begin/maker.end	src/Mod/Part/App/TopoShapeExpansion.cpp::makeShapeWithElementMap	cad-core/src/part/topo_shape.cpp::namedShapeForMakerHistory/preserved makers	output tag/op;ordered inputs;policy;canMap stats;output inventory;outcome	S3	pending
FGMN1-SLICE-021	maker.preserve.checkpoint	src/Mod/Part/App/TopoShapeExpansion.cpp after mapSubElement(shapes)	cad-core/src/part/topo_shape.cpp::applyMakerPreservedElementMap	complete result ledger and StringHasher table after preserve	S3	pending
FGMN1-SLICE-022	maker.modified/maker.generated	src/Mod/Part/App/TopoShapeExpansion.cpp M/G candidate loops	cad-core/src/part/topo_shape.cpp::applyMakerHistoryElementMap	incoming singular mapped name/refs;NameKey;reported/effective type;source/target;ordinal	S3	pending
FGMN1-SLICE-023	maker.candidate.reject	src/Mod/Part/App/TopoShapeExpansion.cpp all candidate guards	cad-core/src/part/topo_shape.cpp::applyMakerHistoryElementMap	target already named;type mismatch;missing output;delayed;canMap false;unknown type;precise winner;stable reason	S3	pending
FGMN1-SLICE-024	maker.parallel_coplanar	src/Mod/Part/App/TopoShapeExpansion.cpp generated high-level decomposition	cad-core/src/part/topo_shape.cpp::applyHistoryShape	plane/parallel/coplanar;INT_MIN ordinals;shapeOffset;target order	S3	pending
FGMN1-SLICE-025	maker.select/maker.multi_source	src/Mod/Part/App/TopoShapeExpansion.cpp NameKey selection/setElementComboName	cad-core/src/part/topo_shape.cpp candidate sort/combo-name paths	all candidates and sort fields;winner;M/G mix;K/K0/K00;tuple/refs/SID;delayed pass	S3	pending
FGMN1-SLICE-026	maker.upper/maker.lower	src/Mod/Part/App/TopoShapeExpansion.cpp U/L passes	cad-core/src/part/topo_shape.cpp::addMakerReverseAliases/addMakerForwardAliases	topology traversal order;all candidates;unnamed/seam/outer-wire guards;tuple;raw name/refs	S3	pending
FGMN1-SLICE-027	maker.final_checkpoint	src/Mod/Part/App/TopoShapeExpansion.cpp before return	cad-core/src/part/topo_shape.cpp all maker return paths	complete ledger/child maps/table/mapper ref;unnamed IndexedNames	S3	pending
FGMN1-SLICE-028	boolean.lifecycle	src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementBoolean/makeElementShape	cad-core/src/part/topo_shape.cpp::makeElementBooleanFromSources	argument/tool roles/order;FUS/CUT/COMMON;fuzzy;build/cancel/postprocess/fallback/final handoff	S3	pending
FGMN1-SLICE-029	refine.lifecycle	src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementRefine;ShapeFix history	cad-core/src/part/topo_shape.cpp::makeElementRefineFromSource and ShapeFix helpers	before/after shape/tag/ledger;raw M/G/D;failure fallback;preserve-original decision	S3	pending
FGMN1-SLICE-030	face_maker.lifecycle	src/Mod/Part/App/FaceMaker.cpp::postBuild	cad-core/src/part/face_maker.cpp::buildBoundedFacesFromEdgeNetwork/makeFacesFromClosedWiresAndSplitEdgesDetailed	sources;pre-split/splitter;split ledger;outer-wire entries;history/tag sort;namesUsed;combo name/refs	S4	pending
FGMN1-SLICE-031	wire_joiner.lifecycle	src/Mod/Part/App/WireJoiner.cpp	cad-core/src/part/wire_joiner.cpp::Impl/build/result/history helpers	input identity;split/merge/superEdge;wireInfo/iterations;open/result wires;M/G/deleted adjacency	S4	pending
FGMN1-SLICE-032	sketch.producer	src/Mod/Sketcher/App/SketchObject.cpp::buildShape/buildInternals	cad-core/src/sketcher/sketch_object.cpp;sketch_internal_builder.cpp;sketch_internal_result.cpp	geometry ID tokens;filtering;wire/vertex order;SKT map;Shape/InternalShape/FaceMaker/open-wire handoff	S4	pending
FGMN1-SLICE-033	property_shape.set_value	src/Mod/Part/App/PropertyTopoShape.cpp::PropertyPartShape::setValue	cad-core/src/part/topo_shape.cpp::namedShapeForPropertyShapeValue;src/part/property_topo_shape.cpp	input/output tag;map size;map/copy/retag/hash-child decisions;preserved child maps	S5	pending
FGMN1-SLICE-034	property_shape.retag	src/Mod/Part/App/TopoShapeExpansion.cpp::reTagElementMap	cad-core/src/part/topo_shape.cpp property retag paths	source ledger;new tag/hasher;reset/copy ranges/postfix;complete before/after checkpoint	S5	pending
FGMN1-SLICE-035	shape_slot.assign	src/Mod/Part/App/PropertyTopoShape.cpp call sites	cad-core/src/sketcher and src/part_design slot publication paths	owner;property Shape/AddSubShape/InternalShape/PreviewShape;source scope;before/after ledger	S5	pending
FGMN1-SLICE-036	partdesign.extrude	src/Mod/PartDesign/App/FeatureExtrude.cpp	cad-core/src/part_design/feature_extrude.cpp;feature_pad.cpp;feature_pocket.cpp	profile;branch;raw/refined prism;AddSubShape;negative tag;Boolean;raw/final result;slot handoff	S5	pending
FGMN1-SLICE-037	partdesign.dressup	src/Mod/PartDesign/App/FeatureDressUp.cpp;Chamfer/Fillet execute	cad-core/src/part_design/feature_dress_up.cpp;feature_chamfer.cpp;feature_fillet.cpp	resolved Base selection;input order;CHF/FLT maker;cache;refine;final Shape;guard/failure	S5	pending
FGMN1-SLICE-038	partdesign.pattern	src/Mod/PartDesign/App/FeatureTransformed.cpp;Pattern/Mirror/MultiTransform	cad-core/src/part_design/feature_transformed.cpp;feature_linear_pattern.cpp and peers	Originals order;mode;add/sub role;transform ordinal/postfix;instance ledger;boolean order;support;final slot	S5	pending
FGMN1-SLICE-039	partdesign.body_tip	src/Mod/PartDesign/App/Body.cpp::execute	cad-core/src/part_design/body.cpp::getBodyTopoShapeAtFeature/executeBody	Tip object/tag;Tip ledger/child/history;setValue before/after;inherit-only/no replay	S5	pending
FGMN1-SLICE-040	failure/cancel	all native recorder scopes	all CAD Core producer scopes	error category/message;stage;last complete snapshot;partial-write;stable reason;closed outcome	S5	pending
FGMN1-SLICE-041	scope.begin/end/abort	src/App/ElementMapProducerTrace.cpp	cad-core/src/app/element_map_producer_trace.cpp	strict parent tree;object/tag/producer/stage;LIFO;success/exception/cancel/abort	S1	pending
FGMN1-SLICE-042	trace.reentrancy_rejected/scope_mismatch	src/App/ElementMapProducerTrace.cpp	cad-core/src/app/element_map_producer_trace.cpp	single diagnostic event;no recursion;no silent stack repair	S1	pending
