id	phase	source_file	source_symbol_or_key	cad_core_landing	reason	status	oracle_or_diagnostic	validation	next_owner
C4-SRC-205	C4-M2	/Users/li/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureBoolean.cpp;Body.cpp	Boolean::execute, Type=Fuse/Cut/Common, Group tools, BaseFeature, makeElementBoolean	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp	Body tool Boolean Fuse/Cut/Common first slice is product-needed and expected-backed; LinkStage3-only types and multi-solid AllowCompound are deferred/non-goal	supported_expected_backed_body_tool_first_slice	C4-ORC-202 partdesign-boolean-{cut,fuse,common}-body-tool native expected plus deferred diagnostics	C4-VAL-201	C4-S5
C4-SRC-206	C4-M2	/Users/li/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/DatumPoint.cpp;DatumLine.cpp;DatumPlane.cpp;DatumCS.cpp;Body.cpp	Datum placement, Role, OriginFeatures, Body Origin relink, downstream DatumLine/DatumCS references, Datum AttachEngine gate	cad-core/src/part_design/datum_*.cpp;cad-core/src/part_design/body.cpp;cad-core/src/runtime/recompute.cpp	Placement/link/recompute semantics already exist and are referenced by p7/c3m5 fixtures; active Datum AttachmentSupport/MapMode is diagnostic because AttachEngine solver is not migrated; GUI Attachment editor remains non-goal	supported_existing_placement_link_with_attachment_diagnostic	C4-ORC-203 existing datum placement/reference-axis/body-origin fixture evidence plus c4m2/partdesign-datum-attachment-deferred-diagnostics	C4-VAL-201	done_C4-S5C
C4-SRC-301	C4-M3	/Users/li/Chili3DProject/FreeCAD/src/Mod/Sketcher/App/Constraint.h;Sketch.cpp;SketchObjectConstraints.cpp;SketchObjectGeometry.cpp;PropertyConstraintList.cpp	ConstraintType;Sketch::addConstraint/addDistanceConstraint/addAngleAtPointConstraint/addInternalAlignment*;SketchObject::solve/retrieveSolverDiagnostics;PropertyConstraintList::Restore/checkConstraintIndices	cad-core/src/sketcher/sketch_object_constraints.cpp;sketch_object.cpp;runtime diagnostics;adapters/c_api/c_api.cpp	Sketcher solver-facing DTO/source audit closed for supported/deferred/diagnostic/non-goal relation families	done_constraint_facing_audit	C4-ORC-301 c4m3/sketch-constraint-* request fixtures plus unsupported_sketch_constraint_relation diagnostic	C4-VAL-301	C4-S6
C4-SRC-302	C4-M3	/Users/li/Chili3DProject/FreeCAD/src/Mod/Sketcher/App/SketchObjectExternal.cpp	rebuildExternalGeometry	cad-core/src/sketcher/sketch_object_external.cpp;runtime/recompute.cpp	ExternalGeometry projection/intersection lifecycle source closed with Frozen/Detached/Missing native pool, single-subshape ReferenceShadow.brep snapshot, missing snapshot and unsupported BREP diagnostics	done_expected_backed_with_deferred_diagnostics	C4-ORC-302 c4m3/sketch-external-internal-{frozen-native-pool,detached-native-pool,missing-recovered,frozen-brep-snapshot,frozen-missing-snapshot-diagnostic,unsupported-reference-shadow-brep-diagnostic}	C4-VAL-301	C4-S7
C4-SRC-303	C4-M3	/Users/li/Chili3DProject/FreeCAD/src/Mod/Sketcher/App/SketchObject.cpp	buildInternals	cad-core/src/sketcher/sketch_internal_builder.cpp;cad-core/src/part/face_maker.cpp;wire_joiner.cpp	InternalShape pressure source closed with open profile, bounded face, self-intersection, split+dangling mixed expected-backed rows and ReferenceShadow split/deleted/ambiguous/stable-loss diagnostics	done_expected_backed_with_deferred_diagnostics	C4-ORC-302 c4m3/sketch-external-internal-{open-profile-empty,bounded-cross-cutters,self-intersection-bowtie,split-dangling-mixed,reference-shadow-edge-stable,reference-shadow-brep-split-diagnostic,reference-shadow-brep-deleted-diagnostic,reference-shadow-ambiguous-diagnostic,stable-deleted-diagnostic}	C4-VAL-301	C4-S7
C4-SRC-401	C4-M4	/Users/li/Chili3DProject/FreeCAD/src/App/PropertyLinks.cpp	updateElementReference / updateLabelReference	cad-core/src/app/property_links.cpp;cad-core/src/app/link.cpp;runtime/recompute.cpp	reference recovery pressure source for rename, label, object-id, LinkSub/List and ReferenceShadow-aligned subname updates	done_c4m4_pressure	C4-ORC-401 C4M4-TR-PRESS-002/003/005/006/007/008 implemented with updated/unchanged/needs_reselect/diagnostic_only rows and focused assertions	C4-VAL-401 S9 focused run	done_C4-S9
C4-SRC-402	C4-M4	/Users/li/Chili3DProject/FreeCAD/src/App/ElementMap.cpp	addChildElements / getElementHistory	cad-core/src/app/element_map.cpp;part/topo_shape.cpp	ElementMap pressure source for child maps, source ownership, terminal split/deleted history and stable subname lookup	done_c4m4_pressure	C4-ORC-401 C4M4-TR-PRESS-001/004/009/010/011/012 implemented with terminal history update or stable diagnostic rows	C4-VAL-401 S9 focused run	done_C4-S9
C4-SRC-403	C4-M4	/Users/li/Chili3DProject/FreeCAD/src/App/MappedName.cpp;src/Mod/Part/App/PropertyTopoShape.cpp	findTagInElementName;PropertyPartShape::afterRestore;PropertyShapeCache	cad-core/include/cad_core/app/mapped_name.h;cad-core/include/cad_core/part/topo_shape_reference.h	MappedName tag parsing and PropertyTopoShape restore/cache behavior define old/new/stable subname evidence without persistent full BREP	done_c4m4_pressure	C4-ORC-401 ReferenceShadow/import/deleted/ambiguous diagnostics implemented with C4-NG-004 full-BREP boundary preserved	C4-VAL-401 S9 focused run	done_C4-S9
C4-SRC-404	C4-M4	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShape.cpp;TopoShapeExpansion.cpp;TopoShapeMapper.cpp;TopoShapeMapper.h	makeShapeWithElementMap;MapperHistory;makeElementRefine;makeElementBoolean;reTagElementMap	cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part/topo_shape_mapper.cpp	mixed producer pressure source for ShapeFix/Refine/Boolean/DressUp/transformed/import/Link retag chains	done_c4m4_pressure	C4-ORC-401 pressure rows implemented for resolved, split, deleted and ambiguous terminal history across refine/boolean/dressup/import/Link retag chains	C4-VAL-401 S9 focused run	done_C4-S9
C4-SRC-501	C4-M5	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp;/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/JointObject.py	makeMbdJointOfType / setNewPlacements / validateNewPlacements drag boundary / JointTypes	cad-core/src/assembly/joint_solver.cpp;assembly_utils.cpp;cad-core/src/adapters/c_api/c_api.cpp	Assembly target extension source closed for C4-S10; no new JointType beyond FreeCAD JointTypes	done_c4s10	C4-ORC-501 c4m5 fixtures for missing_grounded_part, unsupported_assembly_solver PointCurve, partial writeback; c3m6 keeps real grounded Ondsel path	C4-VAL-501	done_C4-S10
C4-SRC-502	C4-M5	/Users/li/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp;/Users/li/Chili3DProject/FreeCAD/cad-core/src/runtime/recompute.cpp;/Users/li/Chili3DProject/FreeCAD/cad-core/src/part/part_geometry_curve.cpp	capabilitiesJson / worker / wasm / binary mesh / recomputeResultJson / partGeometryCurveResultJson	cad-core/src/adapters/c_api/c_api.cpp;cad-core/src/runtime/recompute.cpp;cad-core/src/part/part_geometry_curve.cpp;cad-core/src/adapters/cli/cli.cpp	adapter contract publication and shared core result channel source	done_c4s11	C4-ORC-501 Runtime/Adapter half: cad-core-result-v1 schema parity;adapter_resource_limit;mesh_limit_exceeded;cad-core-binary-mesh-v1 metadata diagnostics	C4-VAL-501	done_C4-S11
